make_model,body_type,price,vat,km,hp,type,previous_owners,warranty,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,emission_class,emission_label,gears,comb_consumption,inspection_new,age,cc_index,em_index,ex_index,ss_index,leather_
Audi A1,Sedans,15770,VAT deductible,56013,66.0,Used,2.0,No,Metallic,5.0,5.0,Automatic,1422.0,1220.0,front,Diesel,Euro 6,4.0,7.0,3.8,Yes,3.0,16.0,4.0,3.0,14.0,0.0
Audi A1,Sedans,14500,Unknown,80000,141.0,Used,2.0,No,Uni/basic,3.0,4.0,Automatic,1798.0,1255.0,front,Benzine,Euro 6,4.0,7.0,5.6,No,2.0,9.0,5.0,4.0,15.0,0.0
Audi A1,Sedans,14640,VAT deductible,83450,85.0,Used,1.0,No,Metallic,4.0,4.0,Automatic,1598.0,1195.0,front,Diesel,Euro 6,4.0,7.0,3.8,No,3.0,13.0,2.0,2.0,12.0,0.0
Audi A1,Sedans,14500,Unknown,73000,66.0,Used,1.0,No,Metallic,3.0,4.0,Automatic,1422.0,1195.0,front,Diesel,Euro 6,4.0,6.0,3.8,No,3.0,16.0,8.0,3.0,14.0,0.0
Audi A1,Sedans,16790,Unknown,16200,66.0,Used,1.0,No,Metallic,5.0,5.0,Automatic,1422.0,1195.0,front,Diesel,Euro 6,4.0,7.0,4.1,Yes,3.0,13.0,7.0,4.0,13.0,0.0
Audi A1,Sedans,15090,Unknown,63668,85.0,Used,1.0,No,Metallic,4.0,5.0,Automatic,1598.0,1195.0,front,Diesel,Euro 6,4.0,7.0,3.5,No,3.0,17.0,6.0,4.0,14.0,1.0
Audi A1,Station wagon,16422,VAT deductible,62111,85.0,Used,1.0,No,Metallic,4.0,5.0,Automatic,1598.0,1205.0,front,Diesel,Euro 6,4.0,7.0,3.7,Yes,3.0,15.0,7.0,4.0,13.0,1.0
Audi A1,Compact,14480,VAT deductible,14986,66.0,Used,1.0,No,Metallic,5.0,5.0,Automatic,1422.0,1180.0,front,Diesel,Euro 6,4.0,7.0,3.7,Yes,3.0,10.0,3.0,1.0,12.0,0.0
Audi A1,Sedans,16700,Unknown,57000,85.0,Used,1.0,warranty,Metallic,5.0,4.0,Automatic,1598.0,1275.0,front,Diesel,Euro 6,4.0,7.0,3.7,No,3.0,2.0,1.0,1.0,9.0,0.0
Audi A1,Sedans,17990,Unknown,16103,70.0,Used,1.0,warranty,Uni/basic,5.0,4.0,Automatic,999.0,1195.0,front,Benzine,Euro 6,4.0,7.0,4.456227758007118,No,2.0,12.0,5.0,2.0,13.0,0.0
Audi A1,Sedans,18500,VAT deductible,11300,85.0,Used,1.0,No,Metallic,3.0,4.0,Automatic,1598.0,1250.0,front,Diesel,Euro 6,4.0,7.0,4.0,No,1.0,3.0,7.0,2.0,13.0,0.0
Audi A1,Sedans,17990,Unknown,26415,92.0,Used,1.0,No,Uni/basic,4.0,5.0,Automatic,1395.0,1195.0,front,Benzine,Euro 6,4.0,7.0,4.9,Yes,3.0,16.0,5.0,2.0,13.0,0.0
Audi A1,Sedans,18380,Unknown,31600,92.0,Used,1.0,No,Metallic,5.0,5.0,Automatic,1395.0,1195.0,front,Benzine,Euro 6,4.0,7.0,4.9,No,3.0,17.0,7.0,6.0,14.0,1.0
Audi A1,Sedans,18399,Unknown,45764,112.0,Used,1.0,warranty,Uni/basic,3.0,4.0,Automatic,1395.0,1195.0,front,Benzine,Euro 6,4.0,7.0,4.456227758007118,No,3.0,11.0,3.0,3.0,13.0,0.0
Audi A1,Sedans,17990,VAT deductible,34914,70.0,Used,1.0,No,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzine,Euro 6,4.0,7.0,4.2,No,3.0,16.0,5.0,3.0,14.0,0.0
