price,km,hp,previous_owners,nr_of_doors,nr_of_seats,displacement,weight,emission_label,gears,comb_consumption,age,cc_index,em_index,ex_index,ss_index,leather_,make_model_Audi A2,make_model_Audi A3,make_model_Opel Astra,make_model_Opel Corsa,make_model_Opel Insignia,make_model_Renault Clio,make_model_Renault Duster,make_model_Renault Espace,body_type_Convertible,body_type_Coupe,body_type_Off-Road,body_type_Other,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,vat_VAT deductible,type_Employee's car,type_New,type_Pre-registered,type_Used,warranty_warranty,paint_type_Uni/basic,gearing_type_Manual,gearing_type_Semi-automatic,drive_chain_front,drive_chain_rear,fuel_Diesel,fuel_LPG/CNG,fuel_Other,inspection_new_Yes
15770.0,56013,66.0,2.0,5.0,5.0,1422.0,1220.0,4.0,7.0,3.8,3.0,16.0,4.0,3.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
14500.0,80000,141.0,2.0,3.0,4.0,1798.0,1255.0,4.0,7.0,5.6,2.0,9.0,5.0,4.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
14640.0,83450,85.0,1.0,4.0,4.0,1598.0,1195.0,4.0,7.0,3.8,3.0,13.0,2.0,2.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
14500.0,73000,66.0,1.0,3.0,4.0,1422.0,1195.0,4.0,6.0,3.8,3.0,16.0,8.0,3.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
16790.0,16200,66.0,1.0,5.0,5.0,1422.0,1195.0,4.0,7.0,4.1,3.0,13.0,7.0,4.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
15090.0,63668,85.0,1.0,4.0,5.0,1598.0,1195.0,4.0,7.0,3.5,3.0,17.0,6.0,4.0,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
16422.0,62111,85.0,1.0,4.0,5.0,1598.0,1205.0,4.0,7.0,3.7,3.0,15.0,7.0,4.0,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
14480.0,14986,66.0,1.0,5.0,5.0,1422.0,1180.0,4.0,7.0,3.7,3.0,10.0,3.0,1.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
16700.0,57000,85.0,1.0,5.0,4.0,1598.0,1275.0,4.0,7.0,3.7,3.0,2.0,1.0,1.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
17990.0,16103,70.0,1.0,5.0,4.0,999.0,1195.0,4.0,7.0,4.456227758007118,2.0,12.0,5.0,2.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
18500.0,11300,85.0,1.0,3.0,4.0,1598.0,1250.0,4.0,7.0,4.0,1.0,3.0,7.0,2.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
17990.0,26415,92.0,1.0,4.0,5.0,1395.0,1195.0,4.0,7.0,4.9,3.0,16.0,5.0,2.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
